 Time, LocationX , LocationY , Velocity 
7.0,151.89,377.65,2.49
8.0,151.89,377.65,14.708
13.0,147.74,363.54,0
14.0,147.74,363.54,12.339
15.0,147.74,363.54,0
16.0,147.74,363.54,12.339
17.0,147.74,363.54,12.339
18.0,147.74,363.54,12.339
19.0,151.89,375.16,12.339
20.0,151.89,375.16,0
21.0,151.89,375.16,0
22.0,151.89,375.16,2.49
23.0,151.89,375.16,0
24.0,151.89,375.16,0
25.0,151.89,375.16,12.339
26.0,151.89,375.16,12.339
27.0,151.89,375.16,0
28.0,151.89,375.16,0
29.0,151.89,375.16,0
30.0,151.89,375.16,0
30.0,151.89,375.16,2.49
